Sefer1	Sefer2	Score
I Samuel	Joel	0.003917511425498808
Zephaniah	Ezekiel	0.0038874905900001524
Nahum	Lamentations	0.003877897149191259
Amos	Ecclesiastes	0.00387679786973055
Hosea	Song of Songs	0.0038687042329544753
Judges	Lamentations	0.0038513575406332306
II Kings	Song of Songs	0.003845234522203074
Habakkuk	Lamentations	0.00383100777506767
II Chronicles	Song of Songs	0.0038224412363327396
Joshua	Lamentations	0.0038222122062131574
Joel	Habakkuk	0.0038043506310175054
Joel	Judges	0.0037862556994952396
Joel	Obadiah	0.003746974134760225
Hosea	Daniel	0.003735576472707809
Shmot	Micah	0.003705242063170172
Dvarim	Song of Songs	0.003698000137433222
Vayikra	Lamentations	0.003679443804522366
Bamidbar	Ruth	0.0036515558398701655
Jeremiah	Malachi	0.0036432548836560995
I Kings	Song of Songs	0.003638727895098727
Amos	Nehemiah	0.003632777838980248
Bamidbar	Song of Songs	0.003632350502482997
Joel	II Chronicles	0.0036312857592902086
Joel	Ecclesiastes	0.0036280138332170134
Zephaniah	Lamentations	0.0036275603894747157
Ruth	I Chronicles	0.0036272832641405903
Lamentations	Esther	0.003623903429837692
Ezra	Proverbs	0.0036234039218812873
Breishit	Joel	0.0036187784333292865
Ezekiel	Nahum	0.003575362579503592
Ruth	Proverbs	0.003565157956192537
Micah	I Chronicles	0.0035515266245178994
Nahum	Isaiah	0.0035491019907797476
Ruth	Job	0.0035443676998097077
Zephaniah	Psalms	0.0035384396567689127
Breishit	Micah	0.003538048954446802
Ezekiel	Song of Songs	0.003519632392284694
Lamentations	Nehemiah	0.0035152096387265817
Ecclesiastes	Ezra	0.003488603474107419
Hosea	Malachi	0.0034837430538168933
Amos	Esther	0.0034466349292526437
Ezekiel	Ruth	0.003437795319286903
Joel	Joshua	0.003419936436058739
Nahum	Job	0.0034186778330974315
Malachi	Lamentations	0.0034128051728873495
Jonah	Psalms	0.003358063928002416
Nahum	Zechariah	0.003356235648258774
Nahum	Hosea	0.0033528409459927196
Song of Songs	Esther	0.0033473455202612194
Haggai	Joel	0.0033197078723682934
Ecclesiastes	Song of Songs	0.003318962313899111
Zephaniah	Hosea	0.0033174832558170806
Habakkuk	Zechariah	0.003288244835948194
Vayikra	Ruth	0.003286248041749921
Malachi	Job	0.003284201674844634
Shmot	Song of Songs	0.003282307874369382
Joshua	Ruth	0.003281959373913777
Nahum	Habakkuk	0.003280115801466552
Shmot	Malachi	0.003265585514165229
Hosea	Ezra	0.003260575912184574
Lamentations	I Chronicles	0.003255694464909649
II Kings	Malachi	0.003251160247004612
Ruth	II Chronicles	0.0032329740462733966
Ezekiel	Malachi	0.003229983490544381
Joel	Nehemiah	0.0032297534766283077
I Samuel	Song of Songs	0.0032293028655176947
Bamidbar	Malachi	0.0032090874300468477
Nahum	Psalms	0.003171580695785943
Jeremiah	Habakkuk	0.0031710323673619666
Micah	Nehemiah	0.0031638306096768046
Dvarim	Joel	0.0031427071531363706
Nehemiah	Song of Songs	0.0031395358453649314
Malachi	Zechariah	0.0031198475280746875
Habakkuk	Ecclesiastes	0.0031162331696096895
Micah	Ruth	0.0030731625876829656
Vayikra	Malachi	0.003048948878298317
Malachi	Psalms	0.003046735256568612
Isaiah	Malachi	0.003043855609994978
Joel	II Kings	0.003025613146701117
Judges	Malachi	0.003005594302353517
Joel	Song of Songs	0.0030005605497501306
Micah	Daniel	0.0029890124703922734
Daniel	Lamentations	0.0029876301631208183
Joel	Daniel	0.0029865284098476524
Zephaniah	II Chronicles	0.0029777435431265586
Haggai	Ezra	0.0029712054882092757
Dvarim	Habakkuk	0.0029626278978027404
Zephaniah	Nehemiah	0.002954795491569821
Zephaniah	Judges	0.002953510367272885
Micah	Ecclesiastes	0.002951511098888876
Dvarim	Zephaniah	0.00294699707074172
Amos	Ezra	0.0029409354740082146
I Samuel	Nahum	0.0029202238605431025
Joel	II Samuel	0.0029154599998542758
Song of Songs	I Chronicles	0.0029030676379155065
Shmot	Joel	0.0028954568371475104
Jeremiah	Obadiah	0.0028953882124899064
I Samuel	Malachi	0.0028919373511174544
Zephaniah	II Samuel	0.002891855803034403
Vayikra	Song of Songs	0.0028812499733201916
II Samuel	Habakkuk	0.002872938366531483
Zephaniah	Proverbs	0.0028619286817068465
Judges	Jonah	0.002844785719631069
I Kings	Jonah	0.002840649632207255
Amos	Malachi	0.002839287254413152
Hosea	Ruth	0.002833682076782273
Micah	Ezra	0.0028231534620568382
Breishit	Habakkuk	0.0028227545744426807
Shmot	Habakkuk	0.0028204910159527917
Micah	Song of Songs	0.002798765336019606
Zechariah	Ruth	0.0027971036403248795
Jonah	Ecclesiastes	0.0027957968062779985
Nahum	Proverbs	0.002790782567985923
Ruth	Nehemiah	0.00278079805512598
Amos	Daniel	0.0027798680272857258
Jonah	II Samuel	0.0027777217998042458
Ezekiel	Habakkuk	0.002766074563557035
Isaiah	Ruth	0.00272829206858066
Haggai	Song of Songs	0.002727140638079981
Malachi	Joshua	0.0027253594586717396
Jonah	II Kings	0.0027249449714977633
Jonah	Ruth	0.002721231892056234
Zephaniah	Joshua	0.0027204975071663923
Dvarim	Nahum	0.002719032398137247
Habakkuk	Song of Songs	0.0027115533665256933
Joshua	Song of Songs	0.002654337722861719
I Kings	Malachi	0.0026504053243048198
Hosea	Esther	0.002633971698864815
Joel	I Chronicles	0.0026038028351898423
Obadiah	Hosea	0.002582216434624907
Malachi	II Chronicles	0.002565047960726974
Breishit	Malachi	0.002545260958214088
Jonah	Job	0.002544025900989979
I Samuel	Jonah	0.0025386779966256293
Joel	I Kings	0.002517234687693288
I Samuel	Habakkuk	0.0025169056099907353
Judges	Habakkuk	0.002512217001060299
I Samuel	Zephaniah	0.0025103744205981996
Ecclesiastes	Ruth	0.0025020352785507013
Nahum	II Samuel	0.0025001720786302956
Joel	Proverbs	0.002496663980099191
Breishit	Zephaniah	0.0024933765808039434
Breishit	Jonah	0.0024882105108707205
Ruth	Psalms	0.002482249732050619
Vayikra	Nahum	0.002479561786980971
Habakkuk	Hosea	0.002473371813611196
Bamidbar	Habakkuk	0.0024675994724282775
Malachi	Ecclesiastes	0.002463182034946322
Ruth	Song of Songs	0.0024555358502837887
Zephaniah	Ecclesiastes	0.002451351691883859
Haggai	Nehemiah	0.0024464662115868353
Jonah	Nahum	0.0024432540431690466
Ezra	Lamentations	0.0024390277760674367
Haggai	Malachi	0.002425157423790618
Haggai	II Kings	0.002394831944165715
Vayikra	Joel	0.002365995290805952
Zephaniah	II Kings	0.002344602249747475
Jonah	Proverbs	0.0023423110828635907
I Kings	Habakkuk	0.0023394072348322374
Joel	Malachi	0.0023368139640499333
Jeremiah	Jonah	0.002332190827861963
Jonah	Esther	0.002318015962634031
Jonah	Song of Songs	0.0023160530391140763
Jonah	Joshua	0.002315302669811271
Obadiah	Zechariah	0.0023090020646598848
Jonah	II Chronicles	0.0023039653072976724
Zechariah	Song of Songs	0.0022838268804568837
Nahum	II Kings	0.002273110107266081
Ruth	Daniel	0.0022626293623924155
Shmot	Jonah	0.0022424725255510477
Nahum	Song of Songs	0.002242435818753457
II Samuel	Malachi	0.002207190048649344
Shmot	Nahum	0.0021767074410583595
Jonah	Ezekiel	0.0021528582606128678
Amos	Song of Songs	0.002129054274454943
Jonah	Nehemiah	0.002125963591227379
Jonah	Isaiah	0.0021092959415197443
Zephaniah	Habakkuk	0.002104901427735653
Shmot	Zephaniah	0.0020895401555614053
Dvarim	Haggai	0.002076352709891456
Obadiah	Proverbs	0.0020732922623661536
Haggai	Ezekiel	0.0020643906709748817
Amos	Obadiah	0.0020620167944281954
Joel	Ruth	0.0020589164255814837
Bamidbar	Jonah	0.00205517883197535
Vayikra	Haggai	0.002050351627772453
I Kings	Nahum	0.002043844144660451
Malachi	Daniel	0.0020422802197453535
Micah	Obadiah	0.0020395246931143238
Bamidbar	Haggai	0.0020352996700741303
Jonah	Zechariah	0.0020341472360901206
Habakkuk	Daniel	0.0020261020697418318
Zephaniah	I Kings	0.0020229694595827784
Haggai	II Chronicles	0.002020180873486493
Nahum	I Chronicles	0.0020195759622223994
Habakkuk	II Kings	0.002017265655794927
Joel	Ezra	0.0020071214042442858
Zephaniah	Nahum	0.0019982064605159884
Obadiah	Lamentations	0.0019850090309209856
Jonah	I Chronicles	0.0019711408566280846
Habakkuk	I Chronicles	0.0019665127346829296
Habakkuk	Joshua	0.0019564486966017684
Nahum	Esther	0.0019541899689212807
Amos	Ruth	0.0019523046109593547
Micah	Malachi	0.0019503747711774714
Nahum	Nehemiah	0.0019321439573717666
Ruth	Lamentations	0.0019243596940084382
Malachi	I Chronicles	0.0019132593566757966
Haggai	Joshua	0.0019132568920010667
Zephaniah	Song of Songs	0.0019034767350569037
I Samuel	Haggai	0.0018981595502564
Nahum	Joshua	0.0018966016073395557
Nahum	II Chronicles	0.0018902779165000695
Jonah	Habakkuk	0.0018876985722264324
Micah	Esther	0.0018778158516693363
Jonah	Lamentations	0.0018716037845259328
Malachi	Ruth	0.0018666018480010392
Zephaniah	I Chronicles	0.0018657421250986388
Amos	Nahum	0.0018413262747787435
Haggai	Hosea	0.001834546881048724
Nahum	Ecclesiastes	0.0018316864026893325
Haggai	I Kings	0.001823436231586889
Haggai	Isaiah	0.0018020622484099089
Bamidbar	Nahum	0.0017955573319484671
Obadiah	Job	0.001783317590458375
Amos	Jonah	0.0017779687314995205
Judges	Nahum	0.0017713857421115242
Shmot	Haggai	0.0017647414566632792
Habakkuk	II Chronicles	0.0017613946127077239
Haggai	Judges	0.00175428417594524
Dvarim	Jonah	0.0017407848800909539
Vayikra	Habakkuk	0.0017113480459844174
Haggai	Micah	0.0017011169489104512
Jonah	Micah	0.0016965718608319687
Malachi	Ezra	0.001688075550006644
Haggai	Esther	0.0016854736078038184
Nahum	Malachi	0.0016837813545890602
Haggai	II Samuel	0.001663211297395868
Daniel	Song of Songs	0.0016604684786996437
Haggai	Daniel	0.001655063396434525
Ezra	Ruth	0.0016547811260006684
Ezra	Song of Songs	0.0016448813910184875
Malachi	Esther	0.0016437236771452931
Jonah	Hosea	0.0016335474163967439
Joel	Esther	0.0016229880494939997
Bamidbar	Zephaniah	0.001621935791281152
Zephaniah	Esther	0.0016170578203524395
Habakkuk	Nehemiah	0.001598121082435439
Haggai	Jeremiah	0.0015854579046014302
